id,icao_code,iata_code,name,type,city_id,country_id,continent_id,website_url,created_at,updated_at,latitude_deg,longitude_deg,elevation_ft,wikipedia_link
344,OJAQ,AQJ,Aqaba King Hussein International Airport,medium_airport,48027,86,1,,2024-06-27 0:00:00,2024-06-27 0:00:00,29.61160088,35.01810074,175,https://en.wikipedia.org/wiki/Aqaba_Airport
345,SJOG,AQM,Ariquemes Airport,small_airport,2565,24,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,-9.880436,-63.047115,466,https://en.wikipedia.org/wiki/Ariquemes_Airport
346,SPQU,AQP,Rodríguez Ballón International Airport,medium_airport,2523,139,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,-16.34110069,-71.58309937,8405,https://en.wikipedia.org/wiki/Rodriguez_Ballon_International_Airport
347,AQY,AQY,Girdwood-Alyeska Airport,small_airport,48028,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,60.968774,-149.119792,150,https://en.wikipedia.org/wiki/Girdwood_Airport
348,KARA,ARA,Acadiana Regional Airport,medium_airport,29301,188,4,http://www.flyiberiaparish.com/,2024-06-27 0:00:00,2024-06-27 0:00:00,30.0378,-91.883904,24,https://en.wikipedia.org/wiki/Acadiana_Regional_Airport
349,KARB,ARB,Ann Arbor Municipal Airport,small_airport,2071,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,42.22299957,-83.74559784,839,https://en.wikipedia.org/wiki/Ann_Arbor_Municipal_Airport
350,PARC,ARC,Arctic Village Airport,medium_airport,48029,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,68.1147,-145.578995,2092,https://en.wikipedia.org/wiki/Arctic_Village_Airport
351,WATM,ARD,Alor Island - Mali Airport,small_airport,48030,77,1,,2024-06-27 0:00:00,2024-06-27 0:00:00,-8.13234,124.597,10,https://en.wikipedia.org/wiki/Alor_Island_Airport
352,TJAB,ARE,Antonio Nery Juarbe Pol Airport,medium_airport,2509,202,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,18.45085,-66.675768,23,https://en.wikipedia.org/wiki/Antonio_(Nery)_Juarbe_Pol_Airport
353,SK-471,ARF,Acaricuara Airport,small_airport,48031,37,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,0.533333,-70.133333,587,
354,KARG,ARG,Walnut Ridge Regional Airport,small_airport,48032,188,4,http://walnutridgeairport.com/,2024-06-27 0:00:00,2024-06-27 0:00:00,36.124667,-90.925111,279,https://en.wikipedia.org/wiki/Walnut_Ridge_Regional_Airport
355,ULAA,ARH,Talagi Airport,medium_airport,48033,145,3,,2024-06-27 0:00:00,2024-06-27 0:00:00,64.60030365,40.71670151,62,https://en.wikipedia.org/wiki/Talagi_Airport
356,SCAR,ARI,Chacalluta Airport,medium_airport,2551,35,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,-18.348499,-70.338699,167,https://en.wikipedia.org/wiki/Chacalluta_International_Airport
357,HTAR,ARK,Arusha Airport,medium_airport,2706,174,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,-3.367789984,36.63330078,4550,https://en.wikipedia.org/wiki/Arusha_Airport
358,DFER,ARL,Arly Airport,small_airport,48034,27,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,11.597,1.483,761,https://en.wikipedia.org/wiki/Arly_Airport
359,YARM,ARM,Armidale Airport,medium_airport,2606,9,6,,2024-06-27 0:00:00,2024-06-27 0:00:00,-30.52809906,151.6170044,3556,https://en.wikipedia.org/wiki/Armidale_Airport
360,ESSA,ARN,Stockholm-Arlanda Airport,large_airport,40836,169,3,http://www.swedavia.se/arlanda/,2024-06-27 0:00:00,2024-06-27 0:00:00,59.64849,17.928829,137,https://en.wikipedia.org/wiki/Stockholm-Arlanda_Airport
361,SK-005,ARO,Arboletes Airport,small_airport,2468,37,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,8.855118,-76.422676,13,https://fr.wikipedia.org/wiki/A%C3%A9roport_d%27Arboletes
363,SKAT,ARQ,El Troncal Airport,small_airport,2449,37,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,7.02106,-71.388901,512,https://en.wikipedia.org/wiki/El_Troncal_Airport
364,SAVR,ARR,D. Casimiro Szlapelis Airport,small_airport,48035,7,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,-45.013599,-70.812202,2286,https://en.wikipedia.org/wiki/Alto_R%C3%ADo_Senguer_Airport
365,SJVO,ARS,Aragarças Airport,small_airport,48036,24,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,-15.8994,-52.2411,1061,
366,KART,ART,Watertown International Airport,medium_airport,45858,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,43.991901,-76.021698,325,https://en.wikipedia.org/wiki/Watertown_International_Airport
367,SBAU,ARU,Araçatuba Airport,medium_airport,48037,24,5,http://www.daesp.sp.gov.br/aeroporto-estadual-de-aracatuba-dario-guarita/,2024-06-27 0:00:00,2024-06-27 0:00:00,-21.141479,-50.424575,1361,https://en.wikipedia.org/wiki/Ara%C3%A7atuba_Airport
