id,name,alt_name,country_id,is_active,created_at,updated_at,lat,long
645,Aivanallur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,11.2161,79.5392
648,Aiyampuzha,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.25,76.4667
649,Aiyappan Kovil,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,9.7158,77.0333
653,Aizawl,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,23.7272,92.7178
664,Ajaigarh,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,24.8988,80.2592
665,Ajas,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,34.3316,74.6801
671,Ajjampur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,13.7279,76.0068
672,Ajjanahalli,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,12.0376,77.8138
673,Ajjipuram,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,12.0457,77.3532
675,Ajmer,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.4499,74.6399
676,Ajnala,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,31.84,74.76
677,Ajodhya,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.7992,82.2044
681,Akalapura,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,13.4852,77.4621
682,Akalgarh,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,30.8019,75.8582
683,Akambadam,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,11.1,76.3167
684,Akanavaritota,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.4141,81.6367
688,Akbarpur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.4333,82.5403
689,Akbarpur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,24.6351,83.9642
705,Akhnur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,32.87,74.73
715,Akividu,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.5823,81.3811
717,Akkattettar,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.8167,76.65
720,Aklera,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,24.42,76.57
722,Aklvidu,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.6,81.3833
723,Akola,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,20.7,77
724,Akola,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,27.0656,77.8808
727,Akora,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.4721,78.7989
729,Akot,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,21.1,77.06
925,Alagappapuram,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,8.1468,77.5413
926,Alagarai,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.9826,78.3891
944,Alamadi,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,13.1097,80.0972
950,Alamnagar,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,25.561,86.9014
957,Alampalaiyam,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,11.3635,77.7677
958,Alampur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,15.8793,78.1334
959,Alampur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.0251,78.797
960,Alampur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,24.8721,83.8829
961,Alampur Gonpura,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,25.5404,85.0511
962,Alamuru,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.7833,81.9
963,Aland,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,17.5642,76.5685
964,Alandatte,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,12.191,75.4673
966,Alanganallur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.047,78.0903
967,Alangayam,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,12.6223,78.7521
968,Alangudi,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.3604,78.9779
969,Alangulam,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,8.864,77.4994
975,Alasandigutta,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,15.6244,77.2731
983,Alattur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.6481,76.5383
985,Alauli,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,25.644,86.4065
989,Alawalpur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,31.4316,75.6561
990,Alawandi,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,15.2303,75.9801
991,Alayaman,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,8.8843,76.9653
1104,Alengad,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.1,76.3
1114,Alewah,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,29.4767,76.4522
1157,Algun,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,31.2795,74.6517
1180,Aliganj,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,24.9365,85.925
1181,Aligarh,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,27.88,78.08
1188,Alipur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,18.8621,78.8754
1189,Alipur Duar,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.489,89.527
1194,Aliyabad,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,12.6317,79.2164
1203,Allagadda,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,15.1322,78.5138
1205,Allahdurg,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,17.9667,77.9167
1206,Allahpur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.3434,77.8195
